,entity,entity_type,sentiment,count
221,committee,ORGANIZATION,-0.16666666915019354,1
201,both,PERSON,-0.1666666716337204,1
41,DC,LOCATION,-0.1666666716337204,1
227,department,ORGANIZATION,-0.1799999974668026,1
101,KCOY,ORGANIZATION,-0.19166667076448599,1
185,Winter Quarter,PERSON,-0.20000000298023224,1
107,KUNA-FM,ORGANIZATION,-0.20000000298023224,1
274,record grove,LOCATION,-0.20000000298023224,1
199,base,LOCATION,-0.20000000298023224,1
90,January of 1968,DATE,-0.20000000298023224,1
164,Some,PERSON,-0.20000000298023224,1
194,anyone,PERSON,-0.20000000298023224,2
122,Master Control room,LOCATION,-0.20000000298023224,1
134,News Director,PERSON,-0.20000000298023224,1
136,"October 9, 1969",DATE,-0.20000000298023224,1
305,town,LOCATION,-0.20000000298023224,1
210,campus radio committee,ORGANIZATION,-0.20000000298023224,1
140,Production Room,LOCATION,-0.20000000298023224,1
270,program director,PERSON,-0.20000000298023224,1
183,Wilson,PERSON,-0.20000000298023224,1
209,campus official,PERSON,-0.20000000298023224,1
19,Ampex,ORGANIZATION,-0.20000000298023224,1
310,transmitter cabinet,ORGANIZATION,-0.20000000298023224,1
150,Robert Nichol,PERSON,-0.20000000298023224,1
265,places,LOCATION,-0.20000000298023224,1
180,VW,ORGANIZATION,-0.20000000670552254,1
226,dealership,LOCATION,-0.20000000670552254,1
68,Federal Government,ORGANIZATION,-0.21428570789950235,1
287,staff,PERSON,-0.22250000182539226,4
279,rooms,LOCATION,-0.22499999776482582,1
283,some,PERSON,-0.22500000055879354,1
234,facilities,LOCATION,-0.23333332935969034,3
163,Scott Larsen,PERSON,-0.24000000357627868,1
189,administration building,LOCATION,-0.2499999962747097,1
261,operator,PERSON,-0.2500000037252903,2
159,San Luis Obispo,LOCATION,-0.2666666681567828,3
191,administrators,PERSON,-0.26666667436559993,1
190,administrator,PERSON,-0.2750000087544322,1
296,students,PERSON,-0.2952380992826961,2
24,Bauer,ORGANIZATION,-0.3000000019868215,1
25,Bauer,PERSON,-0.3000000019868215,1
167,Speech Department,ORGANIZATION,-0.30000000819563866,2
239,field,LOCATION,-0.30000001192092896,1
13,Acopian,PERSON,-0.30000001192092896,1
307,transformer,PERSON,-0.30000001192092896,1
214,center,LOCATION,-0.30000001192092896,1
252,location,LOCATION,-0.30000001192092896,1
60,Eric,PERSON,-0.30000001192092896,1
300,studios,ORGANIZATION,-0.32499999925494194,1
278,room,LOCATION,-0.33235294152708617,2
88,Jan 18th,DATE,-0.3499999940395355,1
87,Jan,PERSON,-0.36666666467984516,1
109,KZSU,ORGANIZATION,-0.3999999947845936,1
188,administration,ORGANIZATION,-0.4000000034769376,1
89,"January 18, 1973",DATE,-0.4000000059604645,1
184,Winter,ORGANIZATION,-0.4000000059604645,1
75,Graphic Arts,ORGANIZATION,-0.4000000059604645,1
158,San Luis Creek,LOCATION,-0.4000000059604645,1
273,radio stations,ORGANIZATION,-0.4000000059604645,2
200,basement,LOCATION,-0.4000000059604645,1
225,cue speaker,PERSON,-0.4000000059604645,1
223,corner,LOCATION,-0.4000000059604645,1
240,flooding downtown,LOCATION,-0.4000000059604645,1
119,Marsh Streets,LOCATION,-0.4000000059604645,1
285,somewhere,LOCATION,-0.4000000059604645,1
71,Gary Fernstrom,PERSON,-0.41250000055879354,1
204,bunch,PERSON,-0.5,1
195,anywhere,LOCATION,-0.5,1
220,college campus,LOCATION,-0.5,1
236,fan,PERSON,-0.5,1
232,engineers,PERSON,-0.5,1
229,departments,ORGANIZATION,-0.5,1
258,office,ORGANIZATION,-0.5000000186264515,2
256,no one,PERSON,-0.5100000038743019,2
222,company,ORGANIZATION,-0.5111111195551025,1
291,station manager,PERSON,-0.5166666830579439,2
284,someone,PERSON,-0.5499999970197678,2
203,buildings,LOCATION,-0.550000011920929,2
118,March of 1970,DATE,-0.6000000238418579,1
280,secretary,PERSON,-0.6000000238418579,1
176,The New York Times,ORGANIZATION,-0.6000000238418579,1
76,Graphic Arts Building,LOCATION,-0.6000000238418579,1
228,department chairman,PERSON,-0.6000000238418579,1
264,phone company,ORGANIZATION,-0.6500000059604645,1
250,house,LOCATION,-0.699999988079071,1
73,Glenn Daly,PERSON,-0.699999988079071,1
151,Rod Allen,PERSON,-0.800000011920929,1
66,FM radio stations,ORGANIZATION,-0.800000011920929,1
